VEH_BODY_STYL_ID,PRSN_ETHNICITY_ID,crashes
"PASSENGER CAR, 4-DOOR",WHITE,58312
PICKUP,WHITE,38609
SPORT UTILITY VEHICLE,WHITE,33902
"PASSENGER CAR, 2-DOOR",WHITE,9877
TRUCK TRACTOR,WHITE,5815
NA,WHITE,5693
VAN,WHITE,5291
TRUCK,WHITE,4204
UNKNOWN,WHITE,1178
MOTORCYCLE,WHITE,848
OTHER  (EXPLAIN IN NARRATIVE),WHITE,459
BUS,HISPANIC,391
POLICE CAR/TRUCK,WHITE,366
YELLOW SCHOOL BUS,WHITE,264
FIRE TRUCK,WHITE,112
AMBULANCE,WHITE,97
FARM EQUIPMENT,WHITE,63
NEV-NEIGHBORHOOD ELECTRIC VEHICLE,WHITE,10
POLICE MOTORCYCLE,HISPANIC,3
NOT REPORTED,HISPANIC,2
NOT REPORTED,WHITE,2
